Best Gamma: 2336.00, Best Accuracy: 82.94, Sigma: 0.3, Seed: 58, Dim: 9
Best Gamma: 2662.00, Best Accuracy: 85.01, Sigma: 0.3, Seed: 58, Dim: 18
Best Gamma: 2366.00, Best Accuracy: 85.17, Sigma: 0.3, Seed: 58, Dim: 27
Best Gamma: 2356.00, Best Accuracy: 85.25, Sigma: 0.3, Seed: 58, Dim: 36
Best Gamma: 2472.00, Best Accuracy: 85.45, Sigma: 0.3, Seed: 58, Dim: 45
Best Gamma: 2534.00, Best Accuracy: 85.29, Sigma: 0.3, Seed: 58, Dim: 54
Best Gamma: 2578.00, Best Accuracy: 85.33, Sigma: 0.3, Seed: 58, Dim: 63
Best Gamma: 2310.00, Best Accuracy: 85.25, Sigma: 0.3, Seed: 58, Dim: 72
Best Gamma: 2558.00, Best Accuracy: 85.29, Sigma: 0.3, Seed: 58, Dim: 81
Best Gamma: 1368.00, Best Accuracy: 75.32, Sigma: 0.05, Seed: 58, Dim: 45
Best Gamma: 1842.00, Best Accuracy: 80.15, Sigma: 0.1, Seed: 58, Dim: 45
Best Gamma: 1648.00, Best Accuracy: 82.82, Sigma: 0.15000000000000002, Seed: 58, Dim: 45
Best Gamma: 1684.00, Best Accuracy: 84.12, Sigma: 0.2, Seed: 58, Dim: 45
Best Gamma: 2546.00, Best Accuracy: 85.13, Sigma: 0.25, Seed: 58, Dim: 45
Best Gamma: 2472.00, Best Accuracy: 85.45, Sigma: 0.3, Seed: 58, Dim: 45
Best Gamma: 3536.00, Best Accuracy: 85.09, Sigma: 0.35000000000000003, Seed: 58, Dim: 45
Best Gamma: 3020.00, Best Accuracy: 84.97, Sigma: 0.4, Seed: 58, Dim: 45
Best Gamma: 3588.00, Best Accuracy: 84.85, Sigma: 0.45, Seed: 58, Dim: 45
Best Gamma: 3150.00, Best Accuracy: 84.85, Sigma: 0.5, Seed: 58, Dim: 45
Best Gamma: 3016.00, Best Accuracy: 84.64, Sigma: 0.55, Seed: 58, Dim: 45
Best Gamma: 4494.00, Best Accuracy: 84.36, Sigma: 0.6000000000000001, Seed: 58, Dim: 45
Best Gamma: 2720.00, Best Accuracy: 84.08, Sigma: 0.6500000000000001, Seed: 58, Dim: 45
Best Gamma: 2576.00, Best Accuracy: 83.75, Sigma: 0.7000000000000001, Seed: 58, Dim: 45
Best Gamma: 2808.00, Best Accuracy: 83.63, Sigma: 0.7500000000000001, Seed: 58, Dim: 45
